date,open,high,low,close,volume
2025-07-14,282.95,285.15,281.17,284.56,9079900
2025-07-15,283.87,287.76,281.38,282.44,12526100
2025-07-16,284.26,286.56,278.95,281.72,9979800
2025-07-17,279.37,286.13,279.37,285.74,8509500
2025-07-18,285.37,288.30,284.09,287.09,12217000
2025-07-21,286.82,289.96,286.41,286.79,7898100
2025-07-22,287.32,289.42,285.03,287.25,6717500
2025-07-23,288.64,292.73,288.35,292.50,7083500
2025-07-24,293.15,295.29,291.95,292.29,7001200
2025-07-25,292.44,294.61,291.71,294.33,5918500
2025-07-28,293.39,295.13,292.56,294.00,5840400
2025-07-29,295.69,296.97,291.95,292.78,7635700
2025-07-30,293.15,296.30,293.11,295.33,8061700
2025-07-31,294.85,296.66,291.26,291.99,14749700
2025-08-01,286.23,287.61,280.16,285.22,12007100
2025-08-04,286.09,290.10,286.09,290.04,6649500
2025-08-05,290.46,291.55,283.12,287.19,7182300
2025-08-06,288.11,289.08,286.00,287.17,6330200
2025-08-07,288.74,289.25,282.30,282.82,8057100
2025-08-08,284.83,287.05,280.62,284.62,6634100
2025-08-11,285.25,287.14,284.64,285.40,5510100
2025-08-12,287.32,290.52,286.17,288.65,8570900
2025-08-13,289.73,290.32,283.04,286.36,8420400
2025-08-14,286.41,289.98,285.48,289.94,6322400
2025-08-15,290.61,291.26,285.66,286.32,7340500
2025-08-18,285.84,287.71,284.27,287.35,5386900
2025-08-19,286.66,288.28,285.37,286.49,6031500
2025-08-20,286.64,289.12,283.15,288.05,7374200
2025-08-21,287.75,288.57,285.32,287.29,6624000
2025-08-22,288.99,292.90,285.97,291.99,8552800
2025-08-25,291.99,293.08,289.92,290.67,5856300
2025-08-26,289.94,294.45,289.29,294.29,6714700
2025-08-27,292.98,296.75,292.78,294.98,6056500
2025-08-28,295.71,296.92,294.41,296.75,6410500
2025-08-29,297.71,298.60,295.43,297.09,6796400
2025-09-02,295.95,296.15,290.27,295.40,7221900
2025-09-03,296.26,296.26,292.13,295.21,6316900
2025-09-04,295.69,300.06,294.00,299.46,6605800
2025-09-05,299.29,300.77,290.09,290.16,9837700
2025-09-08,290.66,292.21,287.26,288.71,8188500
2025-09-09,288.40,294.71,288.11,293.58,7848200
2025-09-10,292.44,297.21,291.16,296.23,7787300
2025-09-11,296.92,301.34,296.47,301.17,7942500
2025-09-12,300.62,303.14,299.34,302.51,6846700
2025-09-15,302.76,305.50,302.76,304.47,7122000
2025-09-16,305.55,306.44,302.72,304.75,10525600
2025-09-17,305.94,308.42,304.34,307.28,8657800
2025-09-18,307.32,308.94,305.17,308.73,8050700
2025-09-19,309.10,311.27,304.68,310.26,23568600
2025-09-22,305.35,309.20,305.12,307.96,7520200
2025-09-23,307.34,311.77,306.12,308.25,8584400
2025-09-24,309.54,312.04,307.20,308.92,7310500
2025-09-25,309.61,311.12,307.33,308.95,7083200
2025-09-26,310.38,313.25,309.20,311.52,7258100
2025-09-29,312.51,313.45,309.16,311.16,6462400
2025-09-30,311.71,312.85,305.66,310.90,11823300
2025-10-01,309.46,310.08,303.00,306.25,9235200
2025-10-02,305.55,306.10,301.75,303.14,7600000
2025-10-03,304.08,307.19,303.79,305.58,6029900
2025-10-06,307.21,308.77,302.21,306.22,7214500
2025-10-07,306.39,307.05,301.79,304.75,8454200
2025-10-08,305.26,305.83,300.65,301.12,6489900
2025-10-09,302.13,305.10,300.49,302.61,7060300
2025-10-10,302.74,307.50,297.93,298.01,8597400
2025-10-13,302.68,306.50,302.53,305.03,10788700
2025-10-14,302.92,304.07,291.40,299.19,16178800
2025-10-15,303.46,309.14,302.52,302.77,11354800
2025-10-16,302.43,305.73,294.23,295.69,10549400
2025-10-17,296.30,296.69,291.39,294.72,10153500
2025-10-20,295.65,300.79,295.31,299.47,6894900
2025-10-21,298.78,301.14,294.16,294.25,7372700
2025-10-22,294.92,295.21,287.76,291.30,8054100
2025-10-23,291.57,293.54,289.71,291.72,5438800
2025-10-24,293.25,299.71,292.63,297.57,7228300
2025-10-27,299.27,301.62,298.13,301.24,5642200
2025-10-28,301.95,305.03,300.26,302.44,6336000
2025-10-29,300.61,305.30,300.11,302.59,7520300
2025-10-30,302.87,309.62,302.18,306.48,7514600
2025-10-31,305.59,309.88,304.31,308.15,7721300
2025-11-03,308.03,309.33,303.28,306.39,7770000
2025-11-04,303.78,309.24,302.18,306.29,7085200
2025-11-05,306.65,310.11,302.71,308.70,6865200
2025-11-06,308.02,311.83,307.29,310.42,7206100
2025-11-07,308.91,311.42,304.70,311.21,7302300
2025-11-10,311.99,316.51,311.21,313.86,5794100
2025-11-11,314.46,316.00,312.27,312.60,5030200
2025-11-12,313.24,319.17,313.19,317.35,10578300
2025-11-13,316.18,317.57,306.15,306.52,8973300
2025-11-14,304.57,304.70,298.35,300.71,10327000
2025-11-17,301.09,302.67,294.82,297.50,8344000
2025-11-18,296.64,300.05,294.18,296.55,8077300
2025-11-19,296.87,301.54,296.41,300.37,5546600
2025-11-20,303.41,306.96,295.31,295.53,7501600
2025-11-21,298.41,298.80,290.01,295.17,11766800
2025-11-24,295.39,296.95,291.69,295.15,10940200
2025-11-25,297.18,301.59,292.73,300.10,8877200
2025-11-26,302.08,305.58,300.30,304.70,7910900
2025-11-28,306.15,310.72,305.29,310.09,4322400
2025-12-01,309.96,311.04,305.59,305.97,7727300
2025-12-02,305.79,307.51,304.15,304.94,7249000
2025-12-03,304.26,309.37,303.87,309.15,8535300
2025-12-04,310.27,315.45,310.01,313.08,9627800
2025-12-05,312.62,315.44,311.67,312.03,6518900
2025-12-08,312.05,313.44,310.35,312.20,7417200
2025-12-09,311.94,315.75,297.15,297.64,18049200
2025-12-10,297.63,308.22,295.61,307.15,18874100
2025-12-11,306.28,314.96,306.28,314.35,9721900
2025-12-12,316.62,317.21,313.57,315.48,8982900
2025-12-15,316.53,319.79,315.35,316.96,10864100
2025-12-16,316.04,316.47,311.39,312.53,8331300
2025-12-17,315.39,316.32,311.65,311.97,8718700
2025-12-18,312.98,314.66,309.24,310.01,11444900
2025-12-19,310.79,315.51,310.20,314.18,24494400
2025-12-22,314.47,320.14,314.47,320.00,8354600
2025-12-23,320.52,324.65,320.00,322.81,6668300
2025-12-24,323.12,326.84,322.39,326.02,4289300
2025-12-26,325.96,327.70,323.42,324.78,4158300
2025-12-29,323.87,324.64,320.44,320.66,8635300
2025-12-30,321.71,321.83,319.41,320.33,7904300
2025-12-31,321.24,321.77,318.96,319.14,5048500
2026-01-02,319.42,322.62,317.67,322.37,8054000
2026-01-05,322.39,334.03,322.08,330.85,10752600
2026-01-06,330.93,334.16,328.97,332.91,7660800
2026-01-07,329.45,330.46,322.95,325.33,9815200
2026-01-08,324.73,329.71,323.99,328.11,11737100
2026-01-09,327.66,330.21,326.50,327.51,6738100
2026-01-12,320.24,324.36,319.59,322.84,12805100
2026-01-13,322.65,325.20,308.99,309.32,19371200
2026-01-14,306.63,310.17,304.56,306.30,25951500
2026-01-15,306.90,311.35,306.18,307.69,14751400
2026-01-16,308.77,315.59,308.42,310.88,14652500
2026-01-20,304.65,309.57,300.32,301.20,12900600
2026-01-21,301.89,303.85,299.62,300.50,10270100
2026-01-22,303.31,306.63,301.36,302.08,10535800
2026-01-23,300.46,300.83,295.00,296.20,11107900
2026-01-26,296.29,300.24,295.94,299.51,11752700
2026-01-27,299.80,300.43,296.63,298.78,11527400
2026-01-28,298.74,300.38,296.53,299.24,9556700
2026-01-29,300.86,305.27,300.68,304.86,11580000
2026-01-30,303.70,306.36,301.02,304.33,11953200
2026-02-02,302.91,307.73,299.84,306.57,9839400
2026-02-03,308.15,314.64,307.53,313.25,12688000
2026-02-04,312.81,317.68,312.81,315.65,9848800
2026-02-05,313.40,314.40,303.98,308.58,9388000
2026-02-06,313.11,322.60,313.11,320.76,17797400
2026-02-09,319.70,324.74,318.48,320.46,11477500
2026-02-10,320.91,324.47,313.52,316.66,9902200
2026-02-11,321.59,323.62,307.16,309.24,8703500
2026-02-12,310.69,312.02,298.49,301.10,13443400
2026-02-13,297.00,302.74,295.01,301.01,9114500
2026-02-17,301.22,306.67,300.96,305.57,8896800
2026-02-18,306.89,310.69,305.66,307.21,7209600
2026-02-19,305.61,307.61,303.57,306.48,6737700
2026-02-20,306.83,309.42,304.12,309.21,7792700
2026-02-23,307.23,309.42,293.60,296.15,12955400
2026-02-24,295.31,298.22,289.90,295.79,13554100
2026-02-25,297.12,302.11,295.50,301.76,8095500
2026-02-26,303.03,307.44,302.09,304.57,7007800
2026-02-27,298.47,301.41,292.95,298.77,18620800
2026-03-02,293.31,298.45,291.72,296.04,8508900
2026-03-03,290.80,300.85,288.03,298.73,10278200
2026-03-04,298.46,299.47,294.31,297.87,8055700
2026-03-05,296.46,299.71,290.94,292.06,12732500
2026-03-06,284.88,288.51,282.27,288.01,13496500
2026-03-09,284.05,289.62,279.02,288.44,12241100
2026-03-10,287.82,291.26,285.72,287.26,8344900
2026-03-11,287.34,289.00,283.41,286.06,10205000
2026-03-12,281.39,282.43,277.68,281.45,13760500
2026-03-13,283.22,285.73,281.51,282.00,9091200
2026-03-16,284.88,287.80,283.16,284.70,8149000
2026-03-17,287.53,290.27,284.49,285.43,8961200
2026-03-18,285.37,287.94,283.67,286.27,10057000
2026-03-19,285.42,288.04,283.17,286.50,9846700
2026-03-20,286.61,289.23,283.82,285.10,22436500
2026-03-23,292.81,294.24,286.50,288.43,11470800
2026-03-24,284.71,293.98,283.92,290.91,11092300
2026-03-25,292.65,296.12,290.95,293.92,12188200
2026-03-26,291.09,293.49,289.25,290.17,8669200
2026-03-27,287.67,288.63,280.32,281.40,9873300
2026-03-30,283.29,285.79,280.89,282.33,11734400
2026-03-31,287.00,293.57,283.50,292.66,12956900
2026-04-01,293.89,297.20,291.42,293.88,11267200
2026-04-02,290.42,294.11,287.25,293.10,6669300
2026-04-06,294.06,296.83,293.20,295.45,7142600
2026-04-07,293.14,298.18,292.70,297.40,7849100
2026-04-08,307.97,311.26,305.33,307.97,10590200
2026-04-09,306.95,311.26,306.11,310.33,6586600
2026-04-10,310.00,310.35,306.72,309.87,6069700
2026-04-13,307.47,313.74,305.46,313.68,8318200
2026-04-14,309.82,314.32,308.87,311.12,11455500
2026-04-15,313.95,314.24,304.26,305.93,9885800
2026-04-16,305.35,309.95,305.20,309.95,8208600
2026-04-17,312.47,314.90,310.09,310.29,11082400
2026-04-20,310.85,317.13,310.37,316.99,10772000
2026-04-21,317.49,320.24,312.75,313.00,7084300
2026-04-22,314.85,315.15,311.94,313.02,5545900
2026-04-23,313.52,314.99,308.89,311.69,6969700
2026-04-24,311.15,311.15,307.89,308.28,5215300
2026-04-27,306.88,312.58,306.88,311.63,7925300
2026-04-28,315.20,315.45,311.17,311.45,7398600
2026-04-29,310.57,312.05,307.29,309.25,8031800
2026-04-30,307.07,314.10,306.57,313.23,8865400
2026-05-01,313.95,316.08,311.83,312.47,6135400
2026-05-04,310.62,310.65,306.51,307.65,7338200
2026-05-05,307.71,310.97,306.80,309.40,6316800
2026-05-06,311.45,316.26,311.35,314.90,8629500
2026-05-07,314.65,316.30,306.14,306.27,8359600
2026-05-08,308.25,308.99,300.50,302.10,9464300
2026-05-11,302.10,303.19,298.88,300.00,9512000
2026-05-12,300.02,306.06,295.55,304.88,9498200
2026-05-13,302.27,303.00,300.07,300.25,7709500
2026-05-14,302.25,303.75,298.81,299.91,7364300
2026-05-15,300.21,300.79,296.45,297.81,8699300
2026-05-18,298.00,301.26,297.22,300.73,7546300
2026-05-19,301.09,301.79,295.26,295.70,8066900
2026-05-20,296.70,302.93,293.67,301.98,9327000
2026-05-21,301.23,303.98,300.21,303.00,7874400
2026-05-22,304.68,307.45,303.84,306.38,5973900
2026-05-26,308.49,309.93,305.44,306.74,7725400
2026-05-27,305.00,305.90,295.75,299.28,11779200
2026-05-28,297.57,301.07,295.75,296.73,9757700
2026-05-29,296.40,299.88,295.20,299.31,13969000
2026-06-01,297.69,299.55,295.27,296.58,7930000
2026-06-02,296.50,302.07,295.27,300.96,8296200
2026-06-03,299.92,301.96,296.56,300.85,7003900
2026-06-04,305.74,312.91,304.44,310.89,10345200
2026-06-05,314.29,315.00,309.60,312.37,9118800
2026-06-08,313.25,316.30,310.78,311.11,6827000
2026-06-09,313.51,316.42,309.01,312.70,11594600
2026-06-10,312.56,314.75,309.03,309.14,7446200
2026-06-11,309.56,314.72,308.88,313.49,9116600
2026-06-12,315.97,321.30,315.55,320.72,7426200
2026-06-15,323.92,325.92,318.84,319.40,7988900
2026-06-16,324.30,331.75,324.02,331.14,11094900
2026-06-17,332.18,337.77,331.50,333.46,12246400
2026-06-18,336.95,338.09,324.16,325.22,20111000
